Show_Id,Category,Title,Director,Cast,Country,Release_Date,Rating,Duration,Type,Description,Year_Added,Month_Added,Main_Genre,Main_Country
s7325,Movie,Unchained: The Untold Story of Freestyle Motocross,"Paul Taublieb, Jon Freeman",Josh Brolin,United States,2016-10-01,TV-MA,92 min,"Documentaries, Sports Movies","This adrenaline-rush documentary traces the rise of freestyle motocross, arguably the world's most extreme sport, and spotlights its pioneers.",2016.0,10.0,Documentaries,United States
s4695,Movie,Our Idiot Brother,Jesse Peretz,"Paul Rudd, Elizabeth Banks, Zooey Deschanel, Emily Mortimer, Kathryn Hahn, Steve Coogan, Rashida Jones, Hugh Dancy, Shirley Knight, Adam Scott, T.J. Miller",United States,2019-02-26,R,90 min,"Comedies, Dramas, Independent Movies",A seemingly clueless idealist relies on his exasperated sisters for shelter and support after his girlfriend dumps him and his dog is taken away.,2019.0,2.0,Comedies,United States
s1323,Movie,Chhota Bheem Kungfu Dhamaka,"Rajiv Chilaka, Binayak Das","Sonal Kaushal, Rupa Bhimani, Jigna Bharadhwaj, Sabina Malik, Julie Tejwani, Rajesh Kava, Vaibhav Thakkar, Samriddhi Shuklaa, Aditya Raj Sharma, Vinod Kulkarni",India,2019-08-15,TV-Y7,112 min,Children & Family Movies,Chhota Bheem is in China for a martial arts competition but his real challenge: to save the emperorâ€™s daughter from being kidnapped by the villain Zuhu!,2019.0,8.0,Children & Family Movies,India
s5106,Movie,Rattlesnake,Zak Hilditch,"Carmen Ejogo, Theo Rossi, Emma Greenwell, Apollonia Pratt, Debrianna Mansini, Bruce Davis",United States,2019-10-25,TV-MA,86 min,"Horror Movies, Independent Movies, Thrillers","After a mysterious woman saves her daughter from a deadly snakebite, a single mother must repay the debt by killing a stranger before sundown.",2019.0,10.0,Horror Movies,United States
s102,Movie,3 Seconds Divorce,Shazia Javed,Unknown,Canada,2019-06-15,TV-PG,53 min,"Documentaries, Faith & Spirituality","A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.",2019.0,6.0,Documentaries,Canada
s3654,Movie,Listen,Philippe Aractingi,"Hadi Bou Ayash, Ruba Zarour, Yara Bou Nassar, Rafik Ali Ahmad, Joseph Bou Nassar, Lama Lawand",Lebanon,2020-10-19,TV-MA,103 min,"Dramas, Independent Movies, International Movies","A sound engineer falls for a model but after an unfortunate accident, he fights to save their love by triggering her senses.",2020.0,10.0,Dramas,Lebanon
s3520,TV Show,"Lady, la vendedora de rosas",Unknown,"Natalia Reyes, Michelle Orozco, Majida Issa, Ernesto Benjumea, ViÃ±a Machado, Carlos MariÃ±o, Alberto CardeÃ±o, Fabio Restrepo, Juan Pablo BarragÃ¡n, Maria Jose Vargas",Colombia,2018-04-01,TV-14,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas","This series tells the life story of Colombian film star Lady Tabares, who was plucked off the mean streets to star in a film and quickly rose to fame.",2018.0,4.0,International TV Shows,Colombia
s488,Movie,An American Tail: The Mystery of the Night Monster,Larry Latham,"Thomas Dekker, Lacey Chabert, Jane Singer, Nehemiah Persoff, Susan Boyd, Robert Hays, Pat Musick, Dom DeLuise, Candi Milo, Jeff Bennett",United States,2018-04-01,G,75 min,Children & Family Movies,"When a monster goes on a mouse-napping spree in New York, Fievel and his friends help a reporter get to the bottom of the mystery.",2018.0,4.0,Children & Family Movies,United States
s6022,Movie,Ten Years,"Jevons Au, Zune Kwok, Chow Kwun-wai, Ng Ka-Leung, Wong Fei-Pang","Wong Jing, Lau Ho-Chi, Leung Kin-Ping",Hong Kong,2019-02-12,TV-MA,102 min,"Dramas, Independent Movies, International Movies","Five shorts reveal a fictional Hong Kong in 2025, depicting a dystopian city where residents and activists face crackdowns under iron-fisted rule.",2019.0,2.0,Dramas,Hong Kong
s3275,Movie,Kaal,Soham Shah,"Ajay Devgn, Vivek Oberoi, John Abraham, Lara Dutta, Esha Deol, Vishal Malhotra, Kushal Punjabi, Vineet Sharma",India,2020-04-01,TV-14,126 min,"Horror Movies, International Movies, Thrillers","Trapped in a national park, a tiger expert and a group of hunters turn to an enigmatic local for help when they mysteriously begin to die one by one.",2020.0,4.0,Horror Movies,India
s2810,Movie,Horrid Henry's Gross Day Out,Gary Andrews,"Lizzie Waterworth-Santo, Emma Tate, Sue Elliot Nicholls, Tamsin Heatley, Wayne Forester, Aidan Cook, Philip Pope",United Kingdom,2020-09-17,TV-Y,61 min,"Children & Family Movies, Comedies","Worlds collide when Henry makes plans to spend Saturday on the sofa watching a ""Gross Class Zero"" marathon â€” and his favorite characters come to life!",2020.0,9.0,Children & Family Movies,United Kingdom
s2493,TV Show,Goodbye My Wife,Unknown,"Soo-hyun Hong, Si Won Ryu, Ji-yoon Park, Min-soo Kim, Julien Kang, Joo-eun Oh, Seong-mo Jeong",South Korea,2016-12-15,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",A coupleâ€™s five-year marriage is put on the line when each of their first loves comes back hoping for another shot at romance.,2016.0,12.0,International TV Shows,South Korea
s5396,Movie,Sarkar,A.R. Murugadoss,"Vijay, Varalakshmi Sarathkumar, Keerthi Suresh, Radha Ravi, Pala Karuppaiah, Yogi Babu",Unknown,2019-03-02,TV-MA,162 min,"Action & Adventure, Dramas, International Movies",A ruthless businessmanâ€™s mission to expose electoral fraud brings him into a heated and dangerous political conflict with two corrupt ministers.,2019.0,3.0,Action & Adventure,Unknown
s4657,Movie,One Take,Manatsanun Phanlerdwongsakul,BNK48,Thailand,2020-06-18,TV-G,86 min,"Documentaries, International Movies, Music & Musicals",Members of Thai girl group BNK48 share the ups and downs of preparing for the 6th Single Senbatsu General Election.,2020.0,6.0,Documentaries,Thailand
s7215,Movie,Trespass Against Us,Adam Smith,"Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Georgie Smith, Rory Kinnear, Killian Scott, Sean Harris, Kingsley Ben-Adir, Kacie Anderson, Gerard Kearns",United Kingdom,2019-02-22,R,100 min,Dramas,"A man from a criminal family yearns to break away and find a better life, but his father's staunch opposition puts his dreams of freedom in jeopardy.",2019.0,2.0,Dramas,United Kingdom
s7311,Movie,Umrika,Prashant Nair,"Suraj Sharma, Tony Revolori, Smita Tambe, Adil Hussain, Rajesh Tailang, Prateik Babbar, Pramod Pathak, Amit Sial, Sauraseni Maitra",India,2016-10-01,TV-MA,96 min,"Dramas, Independent Movies, International Movies","An ambitious man leaves his small Indian village for America. But when his letters to home stop coming, his brother sets out on his own adventure.",2016.0,10.0,Dramas,India
s1262,Movie,Chal Dhar Pakad,Aatmaram Dharne,Nagesh Bhonsle,India,2018-03-15,TV-14,129 min,"Comedies, Dramas, International Movies","After her fat-shaming husband brings home a new lover, a wife in Maharashtra recruits a group of women to challenge him in a kabaddi match.",2018.0,3.0,Comedies,India
s4844,Movie,Phantom Boy,"Jean-Loup Felicioli, Alain Gagnol","Marcus D'Angelo, Vincent D'Onofrio, Fred Armisen, Jared Padalecki, Joey Camen, Brian T. Delaney, Melissa Disney, Bill Lobley, Amanda CÃ©line Miller, Dana Snyder, Stephanie Sheh","France, Belgium",2017-10-01,PG,85 min,"Action & Adventure, Dramas, International Movies",A boy whose illness allows him to float outside his body uses his newfound skill to help a cop take on a madman who's terrorizing New York City.,2017.0,10.0,Action & Adventure,France
s3545,TV Show,Last Tango in Halifax,Juliet May,"Derek Jacobi, Anne Reid, Sarah Lancashire, Nicola Walker, Edward Ashley, Louis Greatorex, Josh Bolt",United Kingdom,2021-01-12,TV-MA,4 Seasons,"British TV Shows, Romantic TV Shows, TV Dramas",Two widowed childhood sweethearts fall for each other all over again when they are reunited over the Internet after nearly 60 years.,2021.0,1.0,British TV Shows,United Kingdom
s2485,Movie,Good Luck Chuck,Mark Helfrich,"Dane Cook, Jessica Alba, Dan Fogler, Ellia English, Sasha Pieterse, Annie Wood, Lonny Ross, Chelan Simmons, Simone Bailly, Jodelle Ferland, Crystal Lowe, Troy Gentile, Georgia Craig, Michelle Harrison, Chiara Zanni","United States, Canada",2019-10-01,UR,99 min,"Comedies, Romantic Movies","Every time Chuck breaks up with a girlfriend, she ends up engaged to her next boyfriend. Soon, women are dating Chuck in hopes of meeting Mr. Right.",2019.0,10.0,Comedies,United States
s3134,Movie,Jeff Dunham: All Over the Map,Robb Dipple,Jeff Dunham,United States,2019-11-16,TV-MA,84 min,Stand-Up Comedy,"America's most beloved ventriloquist hits the road, bringing along all of his most popular pals, including Achmed, Peanut and Walter.",2019.0,11.0,Stand-Up Comedy,United States
s5347,Movie,Sairat,Nagraj Manjule,"Rinku Rajguru, Akash Thosar, Arbaz Shaikh, Tanaji Galgunde, Suresh Vishwakarma",India,2018-04-01,TV-14,173 min,"Dramas, International Movies, Romantic Movies","When two college students â€“ a rich manâ€™s daughter and a fishermanâ€™s son â€“ defy social edicts by falling in love, violence erupts in their village.",2018.0,4.0,Dramas,India
s4583,TV Show,Oggy and the Cockroaches,Olivier Jean-Marie,"Don Michael Paul, Tony Sampson, Sam Vincent, Matt Hill, Greg Eagles, Peter Kelamis, Tara Strong, Rick Jones",France,2017-12-01,TV-Y7,1 Season,"Kids' TV, TV Comedies","Wimpy blue cat Oggy would like nothing more than to snooze, but he's constantly bothered by the three ugly cockroaches who have invaded his home.",2017.0,12.0,Kids' TV,France
s6455,Movie,The Holiday Calendar,Bradley Walsh,"Kat Graham, Quincy Brown, Ethan Peck, Ron Cephas Jones, Genelle Williams, Ali Hassan, Rodrigo Fernandez-Stoll, Laura de Carteret, Kevin Hanchard, Romaine Waite",United States,2018-11-02,TV-G,95 min,"Dramas, Romantic Movies",A talented photographer stuck in a dead-end job inherits an antique Advent calendar that may be predicting the future â€“ and pointing her toward love.,2018.0,11.0,Dramas,United States
s3015,TV Show,Inside The Freemasons,Unknown,Unknown,United Kingdom,2018-09-15,TV-MA,1 Season,"British TV Shows, Docuseries, International TV Shows","Explore the history and future of the Freemasons, a fraternal order steeped in both secrecy and tradition.",2018.0,9.0,British TV Shows,United Kingdom
s3758,Movie,Love In A Puff,Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Singh Hartihan Bitto, Yat Ning Chan, Tat-Ming Cheung, Matt Chow, Chui Tien-you, Queenie Chu, Charmaine Fong, Vincent Kok",Hong Kong,2018-08-01,TV-MA,103 min,"Comedies, Dramas, International Movies","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating a meeting between Cherie, a makeup saleswoman, and Jimmy, an advertising exec.",2018.0,8.0,Comedies,Hong Kong
s1043,TV Show,Bonus Family,Unknown,"Vera Vitali, Erik Johansson, Fredrik Hallgren, Petra Mede, Frank Dorsin, Jacob Lundqvist, Amanda Lindh, Marianne MÃ¶rck, Barbro Svensson, Ann PetrÃ©n, Johan Ulveson, Leo Razzak, Felix EngstrÃ¶m",Sweden,2019-07-12,TV-MA,3 Seasons,"International TV Shows, TV Dramas","A new couple, their exes and their children navigate the emotional challenges and tricky logistics of blended family life in this Swedish dramedy.",2019.0,7.0,International TV Shows,Sweden
